Date,MAX Temperature ( °C ),MIN Temperature ( °C ),Relative Humidity M,Relative Humidity E,Bright Sun Shine Hours
1977-11-01,32.9 ,16.3 ,98,56,8.0 
1977-11-02,33.2 ,16.2 ,87,53,8.7 
1977-11-03,33.7 ,16.6 ,88,45,6.4 
1977-11-04,35.4 ,13.6 ,88,54,6.4 
1977-11-05,32.6 ,15.4 ,96,57,4.5 
1977-11-06,32.5 ,13.4 ,87,58,6.0 
1977-11-07,31.6 ,12.4 ,89,62,9.6 
1977-11-08,33.4 ,13.1 ,81,61,9.3 
1977-11-09,33.1 ,13.2 ,82,57,9.5 
1977-11-10,33.1 ,13.2 ,86,66,9.1 
1977-11-11,32.1 ,12.6 ,79,57,8.9 
1977-11-12,31.1 ,10.7 ,86,58,8.7 
1977-11-13,29.6 ,10.1 ,72,56,9.6 
1977-11-14,30.5 ,10.3 ,70,63,9.6 
1977-11-15,31.1 ,10.6 ,68,55,9.5 
1977-11-16,31.4 ,13.3 ,75,75,9.3 
1977-11-17,29.5 ,10.4 ,100,30,8.1 
1977-11-18,29.4 ,10.1 ,93,40,8.7 
1977-11-19,27.8 ,12.8 ,95,49,8.5 
1977-11-20,28.2 ,12.6 ,100,48,6.1 
1977-11-21,27.2 ,11.3 ,95,54,8.4 
1977-11-22,27.4 ,10.1 ,97,57,9.2 
1977-11-23,28.7 ,10.1 ,100,62,9.0 
1977-11-24,27.9 ,10.1 ,97,60,8.8 
1977-11-25,28.5 ,9.4 ,94,59,8.9 
1977-11-26,26.6 ,6.5 ,99,56,9.4 
1977-11-27,26.0 ,9.5 ,69,59,9.4 
1977-11-28,26.6 ,9.5 ,86,27,8.2 
1977-11-29,27.7 ,10.6 ,86,49,8.7 
1977-11-30,25.6 ,12.6 ,86,54,4.5 
1977-12-01,25.7 ,8.2 ,94,41,7.8 
1977-12-02,22.5 ,5.8 ,91,36,6.8 
1977-12-03,24.1 ,5.6 ,65,33,9.4 
1977-12-04,25.5 ,5.3 ,82,31,9.2 
1977-12-05,24.3 ,5.1 ,75,26,9.3 
1977-12-06,24.6 ,4.8 ,86,30,9.0 
1977-12-07,25.0 ,4.7 ,80,22,8.8 
1977-12-08,25.1 ,5.4 ,91,19,8.9 
1977-12-09,27.5 ,6.2 ,86,14,9.5 
1977-12-10,27.2 ,7.5 ,71,18,7.3 
1977-12-11,28.8 ,9.1 ,82,18,9.2 
1977-12-12,29.1 ,7.6 ,92,35,8.7 
1977-12-13,26.1 ,6.9 ,91,30,8.5 
1977-12-14,24.8 ,6.6 ,92,39,9.2 
1977-12-15,24.4 ,6.6 ,92,44,8.9 
1977-12-16,23.2 ,5.9 ,97,42,4.9 
1977-12-17,23.6 ,15.8 ,91,46,8.6 
1977-12-18,23.8 ,7.0 ,91,48,7.7 
1977-12-19,26.0 ,7.0 ,71,56,7.0 
1977-12-20,26.7 ,7.1 ,97,29,8.9 
1977-12-21,23.7 ,8.0 ,94,50,2.9 
1977-12-22,22.3 ,7.4 ,94,32,4.2 
1977-12-23,23.3 ,4.4 ,82,24,7.9 
1977-12-24,23.5 ,6.0 ,85,29,9.0 
1977-12-25,23.9 ,10.3 ,58,24,8.3 
1977-12-26,23.7 ,8.5 ,97,98,6.6 
1977-12-27,18.7 ,5.7 ,94,93,6.3 
1977-12-28,15.3 ,3.5 ,98,60,2.1 
1977-12-29,16.4 ,3.7 ,98,65,2.9 
1977-12-30,16.6 ,3.3 ,97,47,4.7 
